2026-06-22 13:10:16,442 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 13:10:16,450 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 13:10:16,450 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 13:10:16,450 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 13:10:16,451 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 13:10:16,451 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 13:10:18,364 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 13:10:18,366 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 13:10:18,369 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 13:10:18,369 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 13:10:20,906 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 13:10:21,082 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 13:10:21,683 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 13:10:21,819 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 13:10:21,970 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 13:10:22,128 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 13:10:22,128 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 13:10:23,927 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 13:10:23,927 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 13:10:23,942 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 13:10:23,942 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 13:10:26,477 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 13:10:26,648 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 13:10:27,254 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 13:10:27,397 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 13:10:27,550 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 13:10:27,704 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 13:10:27,705 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 13:13:49,187 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 13:13:49,191 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 13:13:49,192 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 13:13:49,192 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 13:13:49,192 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 13:13:49,193 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 13:13:51,000 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 13:13:51,000 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 13:13:51,017 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 13:13:51,017 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 13:13:52,995 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 13:13:53,193 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
